,Comment
94,페이커는 결정적인 순간마다 플들고 짤리는게 몇번인지 ㅋㅋ
95,나이트선수 엊그제 봤을땐 개못해보였는데 오늘보니까 a급이네요 ㄷㄷ
96,이커야 쉴드는 도저히 못치겠다... 정균이형이 쵸비를 선택한 이유가 있었네
97,젠지는 카밀 절대 풀지말자
98,젠지 해줘~
99,낀낀이형 이왕 무관 프레임 깬거 msi도 깨줘! 해줘!!!!!!!!!!!!!!!!
100,페이커 챔프폭 늘려야할거같음
101,캐리챔으로 2킬 먹고지면 그 사람은 그냥 캐리챔을 잡으면 안 되는거 아닐까요? 누구는 2킬 주고도 이기던데 ㅋ
102,트타판만 이겼어도 3대1로 이겼을거 같은데
103,7분 50초 오더가 갈린건가.. 왼쪽 트페가 세나 피 딸피 만들어서 걍 바론 위 구석에서 빨리 먹고 티었어야 한거 같은데 세명이 네명한테 파고 들고 세나 트타는 딸피 바론 치고 있었네 ..상대 정글러 없는데 세나 트타빼고 탱커 세명이 파고 들었어야했나 아쉽네 .. 걍 세나 딸피 돼는 순간 세나는 궁과 큐만 지원하고 바론 위에서 빨리 잡던가 다 그냥 빠지던가 .. 이거 바론 먹었으면 이긴겜인듯
104,저 빈을 지운 기인은… 얼마나 잘하는거냐 ㄷㄷㄷ
105,근데 5승 블루승이면 레드진영의 저주아닌가...
106,1세트 7분대 트타 까는건 진짜 억까네 탈리야 궁에 세나가 왼쪽으로 밀려서 트페한테 골카맞는순간 딸피됨.  그때 트타가 11시 방향으로 점프(걍 빨리 먹고 빠지자는 의도로 보임)  . 바론피 3천 남았고 딜러 11시 방향있는데 탱커 세명이 4명 한테 달려들면 딜이 나오나 ..상대 정글도 없는데 바론 조금만 치면 강타로 먹지 .. 브실골만 있나 겜 볼줄 모르네 진짜
107,지고싶어서 지고 싶은 사람이 어디 있겠으며 최상의 컨디션으로 싸우고 싶지 않은 사람이 어디 있겠나? 심지어 한국팀과 중국팀의 싸움이었는데도 한국팀 억까하는 사람들은 중국팀을 응원했던 것인가?
108,진짜 무색무취 그자체다 이길때도 존재감이 없고
109,진짜 스치면 치명타 ㅋㅋ
110,티원 진짜 잘했는데 오늘 페이커가 정신을 못차리네 1인분만해도 충분히 이겼는데..
111,걍 티원<<<<<이새끼들이 존나 웃긴 점이 ^lcs^ ^lec^ 이거 두개 잡고 도장깨기 서사니 뭐니 염병한게 걍 존나 웃김 ㅋㅋㅋㅋㅋㅋㅋ
112,T1미드가 쵸비였으면 lck msi 롤드컵 전승우승임
113,미드차이
114,페이커 데뷔시즌팬으로서 5판을 햇는데 미드캐리가 한번도 나온적 없다는거에 이미 결승갈 자격도 없엇고 운좋게 갓어도 우승못함
115,3세트 빼곤 잘햇당
116,의문의 BLG팬 대거 출현 예정
117,결과론이지만 4픽에 비에고 말고 카밀 픽했으면.. 두팀의 실력차는 거의 비등한데 블루 차이를 넘을수가 없네요
118,클템 또 인터넷 문제로 끄적 20분 컷될거 같으면 개추 ㅋㅋㅋㅋㅋ
119,차라리 이번에 꾸역승 보다 떨어져서  챔프 많이 깎아와서 월즈땐 잘했음 좋겠다   메타 해석도 다시하고
120,아니 근데 페이커 좀 너무한거 아닙니까?
121,구마유시 불쌍하다
122,티원 팬인데 이젠 포비를 쓰는 티원도 연습을 해야할듯...  그리고 젠지 골든 로드 기대감이 팍팍 오르네요
123,구멍 1명으로 얼마나 팀을 망가뜨릴수 있는지 보여준 경기
124,대황슼 고생했어요
125,미드차이 ㄹㅇ 너무많이나네 작년월즈라도 건져서다행인듯
126,못해서 쳐지면 우리가 부족했다 연습했다 이런게 아니고 항상 팔목이 아프다 디도스로 솔랭을 못해서 불공정하다 이렇게 아득아득 고집부리는게 치매걸린 노인 같음
127,이런 날은 인터넷을 안 봐야지 멍청한 놈들 스포츠 커뮤니티 하루이틀보냐? 아득바득 쉴드치는거보니까 눈물이 날라하네
128,4경기 저 어려운 상황에서 어케 이겼냐 ㅋㅋ
129,어렵게 올라온 blg는 젠지가 해치웟다구 (대충 너구리짤)
130,그러게 평소에 그미드 상수로 못하는거 제오구케로 돌려서 인격살인하는 것만 좀 적당히하지ㅠㅠ슼갈들 업보씨게 받네..
131,선픽 트페 안좋다더니 뭐? 빈은 이겼네
132,1세트 4킬먹고 시작한 트타는 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 본인이 그렇게 무시하는 수준 낮은 솔랭에서도 트타가 4킬먹고 시작하면 6킬7뎃 팀내 최다 데스는 안 박을듯 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 버스기사가 캐리못하게 승객이 운전대 탈취해서 들이박는 수준 ㅋㅋ
133,유독 해외판에서 페이커가 힘을 몬쓰네…
134,젠지팬들 신났네ㅋㅋ
135,솔직히 구마유시는 무죄고 제우스 오너 케리아는 좀 오락가락 했는데 페이커는 진짜 좀 너무하다 싶을 정도로 못했음 혼자 다른 9명이랑 수준이 안 맞는다는 느낌까지 들었음 좀 너무하더라 ㅋㅋ
136,미드 자크 누구 밴픽인지..하..
137,충분히 잘했음 이 폼이면 우승 할 자격 없는 것도 맞음 근데 뭐 월즈 우승하면 그만이지ㅋㅋ
138,아이고 티원 선수분들 다들 웃음하고 싶어 하셨는데 웃음하신거 축하드려요 Msi 웃음은 티원꺼죠!!
139,ㅁㄷㅊㅇ
140,제오구케 수고했다.. 진짜 안타깝더라 매판 4대5하느라
141,이렇게 된거 젠지 최초 로얄로드 밟고 쵸비 성불하자
142,상혁이형 이번에는 진짜 너무했다...
143,4경기 아우솔이 더 좋아보이네
144,페이커 롤치매 걸려서 설사지리는거 제오구케가 기저귀채우고 베이비파우더까지 발라서 냄새안나게 해놓으면 겨우 이기고 설사 못치워서 팀에 똥냄새 진동을 하면 지고 이게 msi내내 반복되니까 보기 불쌍하네
145,냉정하게 말할게 BLG 우승각임
146,국제전의 T1 X 월즈의 T1 O
147,그러게 젠지한테 어지간히 입털지 작년 우승했다고 올해도 최강이 아님.
