,Comment
2450,내 헬스장 노래 생겼다 한동안 이것만 듣겠네ㅋㅋㅋㅋㅋㅋㅋ 헬린이도 고인물로 만들어주는 매직
2451,방시혁이 에스파를 더 돋보이게 만들었다ㅋㅋㅋㅋㅋ 방시혁이 쏘아올린 공이다ㅋㅋㅋㅋ
2452,그냥 에스파만의 독창적인 컨셉이 있다는 게 너무 좋음 역시 개성이 있어야 됨 어느 영역에서든
2453,와... 초신성 폭발로 중원소를 만들고 결국 그것이 생명이 된다는 과학적 원리를 이해하고 있어야 이런 가사를 쓸 수 있는데...
2454,아니 근데 가사가 진짜 진국임.초신성의 모든 특징을 다 담음
2455,이건 진짜 어설픈 퀄리티면 바로 폭망하는 컨셉인데 소속사 노하우+자본+가수 실력 삼박자가 하이 퀄리티여서 할 수 있는 듯ㅋㅋㅋㅋ  걸그룹 두루두루 좋아하는데 뮤비 공개되고 나서 계속 슈퍼노바만 들음 와 이번 퀄리티 진짜 역대급이다
2456,요즘 한창 유행하는 y2k 컨셉도 아닌 미래외계인 컨셉으로 음원차트 1위 갱신중ㅋㅋㅋㅋ 진짜 대단하다ㄹㅇ;;
2457,진짜 어디서 들은듯한 노래 따와서 양아치마냥 공장같이 똑같은거 내는것보다 에스파처럼 아예 광기 어린 컨셉으로 쭉 밀고나가는게 좋아보임 겹치지도 않고
2458,진짜 sm이 그간 여러 시도를 해온 결과의 결정체같음... 이정도 완성도를 내기 위해 여태 그런 독특한 걸 계속 시도했구나 싶음
2459,스엠은 진짜 한 번 빠지면 나오지 못함 ㅋㅋㅋ 영원한 슴덕이 되...
2460,이걸 어떻게 밟앜ㅋㅋㅋㅋ후반부 진짜 미친듯;; ㄹㅇ다들 작두타고 퍼포먼스함...
2461,켄지 미쳤다 진짜 에스파스러운 노래를 만들어주네
2462,미친... 야 우리 SM이야!  이러는거 같네 중독성 쩔어 진짜
2463,에스파 처음 나올때부터 닝닝만 바라본 내가 너무 자랑스러워짐
2464,아무리 욕해도 케이팝의 미래는 SM이다
2465,에스파가 말아주는 사이버펑크 최고다………….
2466,요즘 음방으로 하루만에 200만 넘기 쉽지 않은데 3세대는 몰라도 4세대 중에서는 하루만에 넘은 걸 본 적이 없는데 좀 많이 대박인듯 ㅋㅋㅋㅋ
2467,잔인한 퀸이며 씬이자 종결 가사 미쳤냐고…. 개좋음 ㅠㅠㅠㅠㅠㅠㅠㅠ
2468,현시점 컨셉 제일 독보적인 그룹인듯 ㅋㅋㅋㅋㅋㅋ  자칫 짜칠 수 있는 사이버틱하고 퓨처리스틱한 노래를 이렇게나 세련되게 시도한 그룹이 있었나.. 심지어 남돌도 아니고 여돌은 잘 하지 않는 컨셉인데 에스파가 넘 잘말아줌;; 사이버펑크 그자체
2469,근데 이거 가사도 그렇고 컨셉소화 제대로 못하면 진짜 유치할꺼같은데 이컨셉을 이렇게 고급스럽고 어울리게 소화하는게 에스파 대단하다.요즘 유행이 복고풍인데 혼자서 미래에서 온 그룹같은 느낌임.
2470,에스파는 광야 컨셉으로 계속 밀고 가야함 일단 너무 잘 어울리고 이제는 진짜 에스파의 정체성임..
2471,노래 진짜 중독적이예요 처음엔 엥 했는데 나도 모르게 하루에 몇번씩 듣고있는 역시 근본에셈
2472,내가 이래서 10년째 스엠을 못놓고있지..
2473,난 지디 가사중 난 유행을 만드니까 그게 나니까라는 가사를 제일 좋아하는데 딱  그거같음
2474,소름돋는건 찐 타이틀곡 아마겟돈은 아직 공개도 안했어
2475,SM이 특별한 이유는 이지리스닝이 대세일지라도 굳이 그 트렌드를 따라가지 않고 계속 자신들만의 색을 유지하는게 참 멋있음. 때론 대세를 따르지 않아서 주춤하고 순위가 안좋을때가 많지만 시기 적절하게 한번 제대로 터지면 대중들 기억에 확실히 각인되거든...
2476,이 곡이 얼마나 미래적인 지는 자동 재생으로 다른 걸그룹 최신 곡  듣는 순간 알수 있음. 내가 좋아했던 그 노래 비트랑 사운드가 그렇게 구릴 수 없음. 취향을 떠나 개안해주는 수준의 곡이라 느낌. 서태지와 아이들 난 알아요 들었던 느낌이랑 똑같음. 곡이 다르게 걸음.  에스파는 이 곡으로 완전 글로벌 그룹으로 갈 것을 확신합니다. 너무 신나네요. 가슴이 설레고 뇌를 즐겁게 해주는 특별한 곡이 진짜 오랜만입니다
2477,닝닝 개이쁘다 진짜 여우과 고양이완전체인듯 무대도 넘 잘함 막내인데도 불구하고
2478,개미침 역대급임 시대를 앞서가고 유행을 선도하는 SMP 그 자체
2479,보란듯이 마이크 소리 숨소리까지 들리게 키운거봐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ존나멋있다 에스파뽕 겁나차오름
2480,아 솔직히 다른 앨범들도 좋았는데 이번 슈퍼노바 ㄹㅇ 개좋은듯.. 거기다 특히 닝닝 헤메코 ㄹㅈㄷ 개이쁘다 .......🩷
2481,이 컨셉과 노래는 에스파라서 할 수 있고 가능한거다...... 너무 찰떡임
2482,케이팝의 다양성을 책임지는 에스파.. 첨엔 저게 뭐야 이랬지만 하이브같은 공장보다보니 얼마나 독창적인 컨셉이 소중한지 알겠음
2483,첨에 닝닝 도입부 너무 기깔난듯; 에바임…닝이줘 목소리로 ㅈㄴ 도도하게 딱 분위기 잡고 들어가서 곡이 너무 세련되게 느껴짐
2484,닝닝 용안 미친거 아니냐 말이 안나오ㄴㆍ
2485,Smp를 계승하되 한단계 발전시킨 느낌. 쓸데없이 무겁지도 않으면서 경쾌하고 참신하다.
2486,SM과 에스파의 뚝심이 보여서 좋음 중요한 첫 정규앨범에 역대급 난해한 컨셉으로 정면돌파해서 대중을 설득시켜버리는 배짱이라니.. 말그대로 독보적인 팀
2487,이번 곡 닝닝 목소리가 진짜 잘어울린다
2488,난 팬은 아니지만 한창 하이브 실력논란 속에  에스파 팬들은 뿌듯하고 기분 좋을것같네  에스파 정말 잘한다
2489,난 진짜 에스파 타이틀 뽑아내는 감각 존경한다. ㄹㅇ 좋네
2490,아니 닝닝 진짜 왜이렇게 이쁘냐... 여돌 보고 감탄한 적 별로 없는데 그냥 내 추구미임..... 귀여운 느낌이 있는데 뭔가 쿨하고 멋있다고 해야하나 성격도 그렇고
2491,음원 나오자마자 하루쟁일 수파노바만 듣고있음…….. 내가 이래서 스엠을 못 놓지…. ㅜㅡㅜ
2492,닝닝 개이쁘노 노래개미쳤다
2493,닝닝 왤케 이쁘냐 물론 처음부터 이뻤지만ㄷㄷ
2494,너무좋다ㅜㅜㅜ 하나 유행하면 그거 다 따라가는게 아니라 각자 자기 색깔 곡들로 들고 와주니 들을 노래가 다채로워서 좋음
2495,이게 뒤에 더 찍지 못하게 되는 미래를 모르고 사녹 단 한 번만에 나온 무대라니… 잘해서 소식 모르고 봤으면 그런줄도 몰랐을듯. 컨셉에 완벽 융화된 멤버들 덕분에 너무 재밌다. 노래 안무 비주얼 삼박자 딱딱 맞잖아
2496,개인적으로 드라마도 진짜 취저였는데 이건 진짜  에스파스럽다ㅋㅋㅋㅋ  이지리스닝도 좋아하고 잡식성인데 가끔 이런 마라맛을 들어줘야 아침에 버스에서 기분째지더라^ㅇ^
2497,와 닝닝 그냥 사람을 홀리네 진짜 예쁘다;;
2498,MR 제거버전 먼저 듣고 왔는데 ㅋㅋㅋㅋ 와 ㅋㅋㅋㅋ 왜 라이브 맞는지 의문 들만 했네요 ㅋㅋㅋㅋㅋㅋㅋ 그냥 음원 튼거 아니냐 싶을 정도의 라이브임ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2499,뮤비 너무 화려해서 무대는 비교적 밋밋하려나 했는데 그냥 에스파가 화려한거였네
2500,역시 sm은 실망시키지 않음ㅋㅋㅋㅋ 컨셉+외모+실력+노래 다 좋음
2501,와 닝닝 진짜 개미쳤다 ㅈㄴ예쁨……
2502,이런 노래 이런 컨셉 너무 귀하다….
2503,아티스트도 물론 훌륭하지만 sm 현업자들이야말로 정말로 대단함.. 밖에서 볼때 sm 작업물을 전두지휘하는 것처럼 보이던 이수만 민희진 유영진 같은 인물 다 나가고도 무대나 앨범 퀄리티가 아쉬운게 없음 작업물들 보면 단순히 성적이 아니라 kpop에 대한 직업적 사명감이나 자부심까지 느껴짐.. 오랜 팬들이 많은 이유겠지만 새삼 대단합니다
2504,아니 진심 닝닝 미친거아님? 아니 진짜로
2505,닝닝씨.팔에 있는 저거저거반짝이는거 내가차면 그냥 미술학원 팔토시인데 완전 찰떡임 아주그냥.
2506,im kinda loving the fact that there is no fancam so everyone is force to watch the official version over and over and appreciate it more
2507,이번 노래 컨셉 좋음 에스파라서 할수있는 노래ㅋㅋ게다가 방시혁이 에스파 밟을수있죠? 이 말한거 공개된 상태에서 절대 못밟힐 개강력한 컨셉이라서 더 시원하달까ㅋㅋ
2508,에스파 노래는 처음에는 엥? 하다가 나중에 계속  귀에 맴도는 중독성이 있음ㅋㅋ 이번 신곡도 좋네요
2509,요즘 최애 닝닝이랑 하니…직캠 젤 재밌어
2510,광야를 넘어선 컨셉이 있을쥴 누가 알았겠어  원조 대기업sm 특유의 사이버틱 컨셉 ㄹㅇ 독보적인데 이걸 찰떡같이 소화하는 에스파도 존나 대단하고 오피셜 뮤비도 댕 잘만듬.  따라부르지는 못하겠는데 머리속에서 맴돌아서 미치겠음ㅋㅋㅋㅋㅋ
2511,와 여돌 음방 무대 이렇게 집중해서 본거 몇년만임… 개좋다 진심
2512,딴건 모르겠고 오에~이건 확실히 중독성있다
2513,와씨 닝닝 외모 혁명적이다
2514,에스파가 사이버펑크 스타일을 소화하는건 이 비주얼과 이 실력과 멤버의 합에 부족함이 없기 때문. 맨처음 데뷔할때는 기존 SM 여돌들과 분위기가 너무 달라서 으잉했는데 수만리 당신은 다 계획이 있었군요
2515,근데 카메라 무빙 미쳤지않음? 진짜 제대로 해주는데? 정신없지않은데 또 다이나믹함 감동 ㅈㄴ 재능충인듯
2516,닝닝 엔딩 뭐임..진짜 미모 미쳤내
2517,벗어날 수 없는 smp.... 이 지독한 smp 몇십년째야... 난해하지만 그래서 더 천재같이 느껴짐. 곡이 이렇게 진행된다고? 이런 리듬을 쓴다고? 여기서 분위기가 이렇게 바뀐다고?
2518,분명 이노래 뭔데? 하다 계속 듣고있음 진짜 슴스탈이다
2519,켄지가 노래를 정말 잘 써준 것도 있고 그걸 찰떡같이 소화하는 에스파도 진짜다… 이번엔 진짜 모두가 눈에 띄는 듯… 에스파 퍼컬은 정규앨범인가봐…
2520,이번 컴백으로 에스파 팬됨… 음방가서 소리지르고 싶은 아이돌 너무 오랜만이야 이게 아이돌이고 스타지 같은 느낌
2521,닝닝 젤이쁘다 짇짜 귀여운데 이쁘고 매력홀림 ㅜㅜ
2522,헐 왜 의상얘기 아무도 없지ㅠㅠ 뮤비에서 지젤 의상 아쉽다고 얘기많았는데 의상 수정해서 이뻐짐..!
2523,닝닝 진짜 뭐임?…. ㄹㅇgoat하다…
2524,얘네 이런 난해하고 펑키한곡이 찰떡인건 외모도 한몫하는듯. 뭔가 멤버들 외모도 곡처럼 엄청 화려하게 예뻐 의상도 진짜 특이한데 또 잘어울려 그겤ㅋ
2525,아니 닝닝이 진짜 미쳤지않나...? 이번컨셉에서 제일 이쁜 것 같은데 어케 저렇게생겼냐 미친거아닌가
2526,음방무대 인급동 1위 실화냐
2527,닝닝 뭐냐 왜저렇게 이쁘냐?
2528,넥스트 레벨 뒤에 이곡이 나왔다면....얼마나 좋았을까
2529,이게 뭐지 싶은데 워낙 잘 만드니 거부감도 안들고 그냥 재밌음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 에스파 색깔 진짜 최고다
2530,에스파 어떻게  시기적으로도 지금 더  뜨는거 대박.. 우리를 어떻게 하고 싶다고?라고 비웃는듯 ㅎ
2531,No one can stop me from praising ningning’s vocal in super nova
2532,처음엔 난해했지만 들으면 들을수록 좋다 ! 역시 에스파는 이런컨셉이 좋아
2533,확신의 헬스장 플레이리스트 1번 트랙
2534,뮤비로 볼때는 노래가 좀 많이 난해한거 아닌가 싶었는데 무대로 보니까 노래가 귀에 쏙쏙 들어오고 그냥 미친듯이 잘 만든 곡이 맞는거 같음 퍼포먼스가 그냥 말이 안나온다 와 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2535,에스파 축하해 이번에 역대급이야
2536,이상하게 에스파노래만 들으면 엔진소리가 내면의 깊은곳에서 울려ㅋㅋㅋ오토바이 타본적도 없는데 뭔가 내가 엄청 잘달리는 오토바이가 된것같은 느낌???? 에스파 부릉부릉 더 밟아~~~!! 달려!!!
2537,시혁이가 그니까 이거 하고싶어서 르세라핌 쎈컨샙으로 잡았단 거잖아 ㅋㅋㅋㅋ ㅈ도 못따라가니까 밟을 수 있냐고 ㅋㅋㅋㅋ
2538,와 간지 포스지린다 이제 에스파.. 현존 걸그룹 원탑같음..요즘
2539,아니 진심 카리나 진짜 진실로 ai같음 사람이 어떻게 저럼????????
2540,분명 쇠맛인데 이지리스닝 같은 곡.. 실력과 비주얼 합쳐져서 이게 바로 이지리스닝..
2541,에스파 제2의 최대전성기의 시발점이 될 영상
2542,진짜 에스파는 압도적이구나 요 근래 들을 노래 없어서 심심했는데 노래 개재밌음
2543,스엠 진짜 근본이네.....
2544,노래 너무 좋음ㅋㅋㅋㅋㅋ중독돼 컨셉 확실한데 잘 소화해내서 더 좋다
2545,아니 하...진짜 sm 그자체라서 눈물이난다.......너무 좋다...... 비트랑 백사운드 깔리는거 진짜 그시절 감성 지렸고  걍 sm is my life임......이지리스닝 시대에 내 가슴을 뛰게하는 유일한 곳 스엠....
2546,기특해요 mz외계인들
2547,와... 솔직히 슈퍼노바만으로도 진짜 최고인데 아마겟돈까지 남아있다니! 이번 정규엘범 더 대박나자!에스파 최고
2548,이 노래 처음 들을 때 요즘 보깅 댄스 음악이 다시 트렌드로 떠올라서 그런 멜로디랑 에스파 콘셉을 잘 조합해서 만들었다고 생각했다. 음악 용어를 잘 몰라서 감각으로 감상평을 남긴다. 방시혁은 에스파 밟을 수 있냐고 거만하게 굴었으나 아마겟돈 같은 실력으로 방시혁 엔터 경력을 부숴버린 에스파에게 박수를
2549,켄지 작사작곡… 에스엠의 근본으로 컴백한 갓스파 사랑한다!!
2550,이번 컨셉은 ㄹㅇ 닝닝한테 찰떡인듯 닝닝이 자꾸 눈에 들어오네
2551,비트가 미쳤음 운전할때 틀면 지림
2552,아이돌 노래 잘 안듣는데 에스파노래때문에 듣게됨 ㅋㅋ 운동할때 좋음
2553,와 엠카 무대가 인급동 1위 라니ㅋㅋㅋㅋㅋ 이게 에스파야 ..
2554,빨리 1위 시켜서 앵콜라이브 듣고싶다
2555,에스파 진짜 독보적이다 4명이란 적은 멤버인데도 꽉 차고 각자 개성이 뚜렷해서 가려지는 멤버가 없어ㅠㅠㅠㅠㅠㅠ 시즌마다 최애가 계속 바뀌는 중.... sm의 유일 장르 아닝교.... 아무도 못 따라한다 이건....
2556,노래 가사가 이렇게 쉬지않고 꽉꽉 채워져 있는데 춤이며 노래며 다 소화해낸다는게 대단하다..!
2557,듣기 편한 공장에서 찍어낸듯한 이지리스닝에 다 똑같은 y2k가 판치는 가요계라서 그런지 귀에 한 번 더 들어오고 눈에도 한 번 더 들어오네. 아무도 따라할 수 없는 독보적이고 귀한 인재들이다. 아이돌 명가 근본있는 대형기획사에서 팍팍 밀어주고 멤버들은 실력이 되고 모든게 맞는 아이돌임
2558,THE CAMERA WORK ON KICKING PART IS A CHEF'S KISS! SO CREATIVE
2559,바디 뱅  뱅시혁 저격 한건감  너무좋아서 한곡 반복 3일째 ㅋㅋㅋㅋㅋㅋ
2560,뒤에 오에 오에 징짜 중독성 미침..하루종일 들음 에스파 밟으실 수수수수퍼노바..
2561,진짜 스엠이 근본이다... 이런 컨셉 현시대 그 어느 누가 할 수 있어? 에스파니까 할수있는거다
2562,닝닝 너무 예쁜데
2563,근데 이번 곡 닝닝 진짜 이쁘다ㄹㅇ
2564,에스파 진짜 너무 잘한다 무대로 보니까 더 좋네  그리고 민정이 엔딩때보니까 확실히 더 숨차보이고 숨몰아쉬는게 보이는데 첫정규활동이여서 욕심도 나고 꼭 참여하고싶은 마음일거 알지만 그래도 무리하지말고 이번주라도 푹쉬었으면 좋겠다
2565,닝닝 미쳤다... 말도안나오게 예쁘네...
2566,아니 나 수만이 나간뒤로 에스파 노래 다 안좋았는데 이번 노래 개좋음 시발 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 게다가 닝닝이 헤메코 뭔일임 ㅈㄴ 예뻐……
2567,숨소리까지 선명하게 들리네 근본 걸그룹 답게 완벽하다..... 독보적임
2568,4세대탑에스파맞다니깡.하루만에 265만회 실화냐
2569,이번에 진심 역대급임.
2570,노래랑 안무 존나 특이하네 ㅋㅋㅋㅋㅋ 진짜 외계인 움직임으로 춤추는 거 같다 ㅈ간지 ㅋㅋㅋㅋ
2571,이노래 쾌감 쩌네요. 진짜 켄지 대단함. 그리고 에스파가 아니면 타회사 걸그룹은 소화할수 없는 컨셉.
2572,뭐지 세트장부터 카리나 윈터 머리색까지 묘하게 블랙맘바 무대 생각남 개좋다
2573,Ningning’s facial expressions during the dance breakkk
2574,에스파처럼 비트를 기계음으로 크게 두드려주는 노래가 유산소 운동할때 발걸음을 비트에 맞춰주기 때문에 생각보다 덜 힘들게 속도 높일 수 있음
2575,에스파와 켄지 언니의 한계는 어디까지인가…
2576,아 닝닝 너무 예쁘다 진짜
2577,에스파 사상 최고의 컴백
2578,이런 컨셉이 가능한 이유는 에스파 비주얼과 음색인듯 사이버펑크랑 너뮤 잘어울려ㅠㅠㅠㅠ
2579,다른 여돌들 이지리스닝할때 카리나 차에다 패대기치면서 비트 때리는 시작부터 빠져듬. 이번 앨범 ㄹㅇ 레전드 찍을듯
2580,와 닝닝 애드립 너무 깔끔함
2581,아니진짜보면볼수록 너무이쁘자나 미친거아니야?
2582,스파이시때부터 느꼈지만 에스파 퍼포먼스는 이제 확실히 어떠한 경지를 넘어선 것 같음…  그 이전에는 (신인이라 그런 걸 수도 있지만) 뭔가 지나치게 짜여진 것 같은 느낌?? 무대를 제대로 즐기고 있는지 의문에서 오는 어색함이 있었는데 이제는 멤버 4명 다 신들린 것처럼 노래함… 그 정점이 드라마일 것이라 생각했는데 뛰어넘은거 같음 ㅜ 멋지다
2583,무대며 의상이며 블랙맘바 생각나는데 ㅋㅋㅋㅋㅋ슈퍼노바도 진짜 세련됐다 노래 짱 좋음
2584,닝닝 미쳤는데 너무예쁨
2585,지금까지 들었던 에스파 노래 중에서 제일 멋있어요
2586,20년 smp로서 에스파 졸라 응원합니다 진짜. 이 한곡을 위해 각 분야에서 능력을 갈아넣은 스탭들도..꺾이지말고 하고싶은거 다하세요!!!!
2587,노래 진짜 특이하닼ㅋㅋ 에프엑스 생각남 근데 좋아서 계속 생각나.. 앵콜 무대 너무 기대됨 ㅋㅋ 음원도 좋은데 라이브가 훨씬 좋을 거 같음
2588,닝닝 너무 이쁘다.. 계속 눈길이 감
2589,SMP 취향 아닌 사람이라 에스파 노래 다 맨 처음에 들었을땐 항상 취향 아니다가 적응하고나서 노래 좋다고 하는 스타일이였는데 이번 노래는 진짜 처음 듣자마자.. 삘이 옴.. SMP 느낌 낭낭하게 나면서 대중성과 중독성 모두 있으니까 하루종일 이 노래만 흥얼거리게 되는 듯
2590,AESPA nailed this futuristic cyberpunk concept so well... They are the IT girls oh ay..  NingNing's shoulder line is so beautiful that make this choreography more outstanding...
2591,에스파 최고 계속 올라가자!! 이번 앨범이 진짜 내 스타일.. 아마겟돈 기대해 볼게
2592,존나 퀸이다 넷다..멤버 전원이 비주얼인 그룹이 또 어딨냐고..
2593,진짜 너무 좋다.... 예전부터 SMP 감성 잘 이해 못했는데 뭔가 요즘 스엠에서 내놓는 것들 보면 아트가 뭔지 알겠음
2594,와 닝닝 개이쁘다..
2595,와 라이브 완전 잘함....
2596,케이팝 너무 재밌다ㅋㅋㅋㅋㅋ 에스파 독보적이야ㅋㅋㅋㅋㅋㅋㅋ
2597,에스파 미모 실화냐. 예전에도 미쳤지만 지금 미모는 전부다 리즈다. 거를타선이 없다. 정말 이래서 SM SM하는거야. 괜히 전통강호 3대기획사라 불렸던게 아니라니까.
2598,Ningning is just soooo🥹just soooo ohhhmyygoodnessss
2599,뭔가 다시 데뷔 초 느낌도 나는 것 같다ㅎ 에스파 밟으실 수수수수퍼노바
2600,역시sm이다. 어느기획사도 이컨셉은 못살림
2601,직캠 하루만에 200믄 찍는 거 진쯔 대박
2602,노래너무신나ㅋㅋㅋㅋ진짜 계속들음ㅋㅋㅋㅋ
2603,요즘 계속 르세라핌 개 망한 무대영상만 알고리즘에떠서 귀아파죽겠었는데 에스파영상보고 치유되었음. 너무 멋지다 이친구들. 역시 실력자들이네
2604,지금 현시점 탑급 아이돌 중에선 실력이랑 비쥬얼은 가장 좋은 그룹인듯 ㅋㅋㅋㅋㅋ
2605,여기는 컴백마다 외모리즈 갱신이네
2606,이건 여름에 탄산음료 마셔서 시원한 노래가 아니라 탄산음료 캔을 만져서 시원해지는 노래다
2607,진짜 에스파는 매 컴백이 레전드…. 이번 노래도 너어무 좋음….
2608,에스파 이곡으로 뭔가 한단계 뛰어넘은듯하다. 노래 넘 좋고 컨셉 대단하다.
2609,근데 요즘 Y2K 이런것도 끝물 느낌이라 노래 잘 나온듯 처음엔 별로같았는데.. 듣다보니 중독되네;;
2610,확실히 유영진 시절 SMCU 시즌1보다 마이월드때부터 이어지는 시즌2가 타이틀 가사라던지 컨셉 이런것도 스펙트럼 넓어지고 다룰 수 있는 소재의 범위가 훨씬 늘어난 것 같고 좋음 드라마까지는 가사가 너무 단순해진거 아닌가 살짝 아쉬움도 있었는데 켄지가 말아주는 SMP 존나맛있음 진짜 컨셉추얼하고 너무좋다
2611,닝닝 이번 컨셉 찰떡인듯
2612,아 노래 개조은데 들을때마다 밟으실 수 수 수 떠올라서 미치겠음ㅋㄱㄱㄱㄱㄱㅋㄱㄱㄱㄱㄱㄱㄱㄱ
2613,에스파는 평생 밟힐 일이 없겠어 ~ 넘 잘하자나
2614,Only aespa could make the concept cool!
2615,aespa歌唱力も実力もあってこんなコンセプトもこなすのは強すぎてパンさん倒せないよ
2616,와 무대 좋다. 사건은 다가와 아오예 이부분 너무너무너무좋아ㅠㅠㅠㅠㅠㅠ
2617,와 진짜 미쳤다ㅋㅋㅋㅋㅋㅋ너무 좋아ㅋㅋㅋㅋㅋㅋㅋ예쁜 애들이 말아주는 기계음 노래 진짜 도랏..
2618,카메라 진짜잘잡으셨다 안무와 노래의 강약을 다알고계신듯
2619,진짜 겁나 내 스타일 ㅠㅠㅠ 넘 좋다 이런 컨셉... 그나저나 미모가 또 리즈갱신했네 조녜다 진짜
2620,이거 동방신기때부터 내려오던 sm식 노래..고맙다..라이징썬 같다
2621,아 1등 앵콜에서 얼마나 멋지게 죠져줄지 기대가간다 1등가즈아~
2622,에스파는 컴백할 때마다 계속 더 예뻐지냐.. 닝닝 블러셔 너무 잘어울린다
2623,블랙맘바 생각나고 그럼 중독성 미친것 같음
2624,바디뱅 부분 응원법 개좋다 ㅋㅋㅋㅋ
2625,광야에서부터 지금까지 물오른것 같다. ㅋㅋㅋㅋ 빠져든다.
2626,미친듯이 기대 개 크게 했는데 기대보다도 좋다는게 말이 되냐 진짜 에스파 정규 미쳤다 하...행복하다
2627,닝닝 너무 예뻐…
2628,확실히 잘한다…
2629,진...짜... 닝닝 개이쁘다 아 미칠거같음 아...아..........
2630,닝닝은 뭔 뮤비보다 더 이쁘네
2631,에스파 팬아님 그냥 에스파 예쁘게 보는 사람으로써 진짜 이번 노래 최애곡 될 정도로 잘뽑고 컨셉도 대박이네 미모는 말해 뭐해임
2632,사운드가 꽉 차서 좋다  요즘  물미역같이 힘 없이 늘어진 노래 허밍처럼 느껴지는 발음 듣다가 정확한 박자 음정 가사 딱딱 들려서 신난다ㅋㅋㅋㅋ
2633,일단 자기가 할 수 있는 최선을 다하는게 너무멋있다..
2634,돌고돌아도 처음으로 돌아오게 만드는 에셈매직ㅎㅎ벗어날 수 없다 정말..
2635,초신성 미녀들 에스파 컴백 첫무대 너무 멋있다 특히 '으와와아 바디 뱅뱅뱅뱅' 이부분에 마이들 뱅뱅뱅 응원소리 엄청커서 좋구 댄서분들 뱅뱅뱅에 맞춰 안무 구성짜여진것도 너무 멋있음. 이무대 몇번을봐도 진짜 좋다 에스파 짱!!!
2636,내 최애 아닌데 무대까지 보게 되네... 수퍼노바 너무좋음!!!!!
2637,요즘 제일 호감가는 그룹 에스파는 컨셉이 확실해서 보는 맛이 쏠쏠함
2638,개다리춤 부분 완전 중독됨..아아!오에- 아아!오에-
2639,찰떡이다 너무 좋아 켄지 또 해냈네  에스엠의 이런 안정감 넘 좋고요
2640,에스파만큼 팬들 기 살려주는 아이돌은 없다
2641,이 맛에 에스파 무대 본다🥹
2642,진짜 ㅁㅊ  개 좋다 시혁아 이 실력을 어케 밟아?
2643,내가 이래서 20년동안 smp를 못놓지 심장을 때리는 smp비트
2644,도입부시발개미친듯존나좋네
2645,와 처음시작할때 진짜 홀린듯 봄 ;;;
2646,여러분 저는 브라질 출신인 AESPA의 열렬한 팬이에요
2647,애들 개이쁘네... 이제 진짜 넷다 레전드 리즈 나온듯
2648,닝이 미친 거 아냐?? 역대급으로 예쁜다 진짜 미친 거 같아...
2649,닝닝 왤캐 예뻐짐
2650,Why do they look insanely prettier in every era
2651,지난번이 네명 리즈라고 생각했는데 이번이 더 리즈 미쳐땅 ㅜㅜ
2652,정규앨범 대박나자
2653,계속 맴도네 무한반복 듣는중 자전거 라이딩할때 들을깨 개좋음
2654,진짜 비트가 미쳤음.. ㄹㅇ
2655,the fact they only got to record this stage a few times but yet they always give out their all in performing is insane.
2656,어제 이거들으면서 창문열고 운전했는데 기분짱좋았음
2657,우와. 걸그룹중에서 가장 독보적인듯.나의 최애 걸그룹.
2658,This stage reminds me so much of their black mamba debut stage 🥹🥹
2659,인급동 1위 캬 무대좋고
2660,여자아이돌은 보통 이쁘고 귀여운 느낌을 받는데 이 무대는 진짜 멋있네요 어릴때 H.O.T. 동방신기 무대에서 느끼던 멋있다는 느낌을 여자아이돌 무대에서 처음 받았어요 승승장구 하셔서 잘 되었으면 좋겠어요 지나가는 아재팬
2661,와 진심 갠적으로 지금까지 에스파노래중에 젤좋음 뮤비도 너무취향이고 계솓보고잇음 팬도아닌데….
2662,가창력이 돋보이진 않지만 에스파 세계관에 중독은 후덜덜~~~~ 뭔지 모르게 자꾸 듣게됨ㅋㅋ
2663,드라마 비주얼 공격에서도 겨우 참았는데 진짜 에스파 찐팬되어버릴 것 같아ㅠㅠㅠㅠ 어후 쇠맛에 속이 다 시원하네! 컨셉을 씹어먹으면 이렇게 짜릿하구ㅠㅠ 보통 이런 컨셉이면 가사도 아주 별나라로 가버리는데 이건 또 가사는 의미가있고 한글도 많이써서 좋음. 감초도 좋아서 트랙 구성 미친거 같은던데 아마겟돈도 좋으면 진짜 앨범 사야지
2664,닝닝 왜 볼때마다 레전드 갱신이지
2665,뭔가 f(x) red light 느낌나네. 오랜만에 신나고 좋다. 날도 더워지는데 시원한것 같음. 방돼지가 말아주는 매번 억지 청량 컨셉만 보다가 핫걸들 속시원하네.
2666,저 은박지 옷들이 어쩜저리 소화를 시키는건지..ㄷㄷ 에스파가 말아주는 싸펑 미쳐따
2667,닝닝 개이쁘다 진심..
2668,음방 라이브 2번 보는 거는 처음이다
2669,진짜 미치겠다 내가 정통 스엠빠인 이유가있다 사랑해 진짜로..
2670,들을수록 매력있네
2671,라이브한 것 같은데(당연함) 음원이랑 또다른 그 느낌이 너무 좋다… 이런 노래 짱스파 아님 누가 하니
2672,이거지예 이게 k팝의 다양성이지예
